Longitude,Latitude
-73.7899,40.6467
-73.7899,40.6468
-73.7899,40.6469
-73.7899,40.6470
-73.7899,40.6471
-73.7899,40.6472
-73.7899,40.6473
-73.7899,40.6493
-73.7900,40.6436
-73.7900,40.6437
-73.7900,40.6439
-73.7900,40.6441
-73.7900,40.6451
-73.7900,40.6466
-73.7900,40.6468
-73.7900,40.6469
-73.7900,40.6470
-73.7901,40.6432
-73.7901,40.6433
-73.7901,40.6438
-73.7901,40.6440
-73.7901,40.6441
-73.7901,40.6450
-73.7901,40.6465
-73.7901,40.6467
-73.7901,40.6468
-73.7901,40.6473
-73.7902,40.6435
-73.7902,40.6437
-73.7902,40.6439
-73.7902,40.6440
-73.7902,40.6466
-73.7902,40.6471
-73.7902,40.6472
-73.7903,40.6437
-73.7903,40.6438
-73.7903,40.6440
-73.7903,40.6442
-73.7903,40.6465
-73.7903,40.6467
-73.7903,40.6468
-73.7904,40.6426
-73.7904,40.6436
-73.7904,40.6438
-73.7904,40.6439
-73.7904,40.6440
-73.7904,40.6441
-73.7904,40.6448
-73.7904,40.6465
-73.7904,40.6467
-73.7905,40.6435
-73.7905,40.6437
-73.7905,40.6438
-73.7905,40.6439
-73.7905,40.6440
-73.7905,40.6441
-73.7905,40.6450
-73.7905,40.6502
-73.7906,40.6436
-73.7906,40.6438
-73.7906,40.6440
-73.7906,40.6442
-73.7906,40.6453
-73.7907,40.6434
-73.7907,40.6435
-73.7907,40.6453
-73.7907,40.6555
-73.7908,40.6440
-73.7908,40.6453
-73.7908,40.6464
-73.7909,40.6453
-73.7909,40.6454
-73.7910,40.6454
-73.7910,40.6459
-73.7910,40.6620
-73.7911,40.6455
-73.7911,40.6456
-73.7911,40.6557
-73.7912,40.6455
-73.7912,40.6458
-73.7913,40.6454
-73.7913,40.6456
-73.7913,40.6457
-73.7913,40.6458
-73.7913,40.6459
-73.7914,40.6455
-73.7914,40.6457
-73.7915,40.6454
-73.7915,40.6472
-73.7916,40.6432
-73.7918,40.6453
-73.7918,40.6458
-73.7919,40.6452
-73.7928,40.6449
-73.7934,40.6568
-73.7937,40.6571
-73.7940,40.6448
-73.7941,40.6570
-73.7942,40.6565
-73.7953,40.6445
-73.7964,40.6446
-73.7974,40.6643
-73.7983,40.6449
-73.7992,40.6453
-73.7998,40.6669
-73.8001,40.6457
-73.8002,40.6458
-73.8010,40.6463
-73.8010,40.6714
-73.8011,40.6740
-73.8012,40.6729
-73.8014,40.6465
-73.8015,40.6670
-73.8025,40.6629
-73.8029,40.6771
-73.8031,40.6776
-73.8035,40.6488
-73.8035,40.6489
-73.8037,40.6787
-73.8045,40.7102
-73.8046,40.6802
-73.8050,40.6814
-73.8052,40.6508
-73.8052,40.6665
-73.8053,40.6821
-73.8061,40.6522
-73.8061,40.6602
-73.8065,40.6594
-73.8066,40.6875
-73.8066,40.7057
-73.8069,40.6534
-73.8071,40.6538
-73.8074,40.6546
-73.8074,40.6555
-73.8077,40.6872
-73.8095,40.7048
-73.8115,40.6936
-73.8118,40.6942
-73.8147,40.7025
-73.8165,40.7562
-73.8165,40.7654
-73.8169,40.7134
-73.8181,40.7064
-73.8193,40.7023
-73.8201,40.6657
-73.8240,40.7132
-73.8244,40.7141
-73.8278,40.6942
-73.8288,40.8331
-73.8301,40.7596
-73.8316,40.7150
-73.8319,40.7147
-73.8321,40.7153
-73.8326,40.7151
-73.8326,40.7153
-73.8327,40.7664
-73.8354,40.7093
-73.8361,40.7174
-73.8393,40.7196
-73.8400,40.7199
-73.8415,40.7190
-73.8431,40.6690
-73.8443,40.7213
-73.8443,40.7214
-73.8444,40.7207
-73.8452,40.7219
-73.8452,40.7541
-73.8453,40.7410
-73.8456,40.7234
-73.8456,40.7548
-73.8466,40.7543
-73.8470,40.7544
-73.8472,40.7230
-73.8493,40.7536
-73.8503,40.7513
-73.8505,40.7325
