Longitude,Latitude
-73.7874,40.6454
-73.7874,40.6456
-73.7874,40.6475
-73.7875,40.6457
-73.7875,40.6475
-73.7875,40.7137
-73.7880,40.6450
-73.7880,40.6474
-73.7881,40.6661
-73.7882,40.6436
-73.7883,40.6452
-73.7883,40.6475
-73.7885,40.6474
-73.7887,40.6414
-73.7887,40.6415
-73.7887,40.6474
-73.7888,40.6415
-73.7888,40.6416
-73.7888,40.7134
-73.7889,40.6414
-73.7889,40.6421
-73.7889,40.6473
-73.7890,40.6448
-73.7890,40.6474
-73.7891,40.6416
-73.7891,40.6417
-73.7891,40.6418
-73.7891,40.6640
-73.7892,40.6417
-73.7892,40.6418
-73.7892,40.6428
-73.7892,40.6552
-73.7892,40.6672
-73.7893,40.6422
-73.7893,40.6424
-73.7893,40.6428
-73.7893,40.6472
-73.7894,40.6419
-73.7894,40.6448
-73.7894,40.6449
-73.7894,40.6472
-73.7895,40.6431
-73.7895,40.6432
-73.7895,40.6471
-73.7895,40.6472
-73.7896,40.6432
-73.7896,40.6433
-73.7896,40.6449
-73.7896,40.6470
-73.7896,40.6471
-73.7897,40.6429
-73.7897,40.6430
-73.7897,40.6448
-73.7897,40.6470
-73.7897,40.6471
-73.7898,40.6432
-73.7899,40.6469
-73.7899,40.6470
-73.7900,40.6431
-73.7900,40.6433
-73.7900,40.6434
-73.7900,40.6435
-73.7900,40.6446
-73.7900,40.6469
-73.7900,40.6470
-73.7901,40.6434
-73.7901,40.6435
-73.7901,40.6439
-73.7901,40.6469
-73.7902,40.6435
-73.7902,40.6436
-73.7902,40.6437
-73.7902,40.6438
-73.7902,40.6448
-73.7902,40.6468
-73.7902,40.6759
-73.7903,40.6437
-73.7903,40.6438
-73.7903,40.6439
-73.7903,40.6468
-73.7903,40.6469
-73.7904,40.6438
-73.7904,40.6439
-73.7904,40.6467
-73.7904,40.6468
-73.7904,40.6469
-73.7905,40.6440
-73.7905,40.6467
-73.7906,40.6441
-73.7906,40.6442
-73.7906,40.6444
-73.7906,40.7196
-73.7907,40.6442
-73.7907,40.6443
-73.7907,40.6466
-73.7908,40.6444
-73.7908,40.6466
-73.7909,40.6443
-73.7909,40.6444
-73.7909,40.6447
-73.7909,40.6466
-73.7911,40.6447
-73.7912,40.6445
-73.7912,40.6448
-73.7913,40.6461
-73.7915,40.6448
-73.7917,40.6448
-73.7917,40.7326
-73.7920,40.6444
-73.7920,40.6447
-73.7920,40.7372
-73.7920,40.7438
-73.7921,40.6448
-73.7922,40.6444
-73.7923,40.6448
-73.7924,40.6444
-73.7925,40.6446
-73.7925,40.6447
-73.7925,40.7827
-73.7927,40.6448
-73.7932,40.7591
-73.7933,40.7105
-73.7933,40.7154
-73.7935,40.6445
-73.7936,40.6573
-73.7937,40.6575
-73.7938,40.6447
-73.7938,40.6570
-73.7939,40.6446
